en,ru,description,file,hash
Allowed templates,Разрешенные шаблоны,,site/modules/Relay/Relay.module.php,309be34a512a2a051e6e43bb6da151b9
All statuses,Все статусы,,site/modules/Relay/Relay.module.php,96e3d398260724e0a83da53a2e9f20e7
All templates,Все шаблоны,,site/modules/Relay/Relay.module.php,d4e3a3afd7f0073d8b3967cf2995edc9
An action fails,Действие не удалось,,site/modules/Relay/Relay.module.php,c9987dc7822b8c86232ea7dac2a53950
An action is cancelled,Действие отменено,,site/modules/Relay/Relay.module.php,d73a22447bf29c5c8b6ec10edb2ddf15
An action is rescheduled,Действие перенесено,,site/modules/Relay/Relay.module.php,de25faabb04cfecc9d35e31628b8fe76
An action is scheduled,Запланировано действие,,site/modules/Relay/Relay.module.php,5c5c92a301f9adb4c09fd18daf4b2830
An editor can request an editable publication-time and note proposal. Nothing is scheduled and no page is changed automatically.,Редактор может запросить редактируемое время публикации и предложение примечаний. Ничего не запланировано и ни одна страница не изменяется автоматически.,,site/modules/Relay/Relay.module.php,bf9d1f92b299ff2027159bb4ad01ee1c
Any action completes,Любое действие завершается,,site/modules/Relay/Relay.module.php,4c1a63ec3b633e25dff8c7c0d954fdf8
A page is successfully published,Страница успешно опубликована,,site/modules/Relay/Relay.module.php,f4fa1bf941f484b0acd75613e7fde479
API,API,,site/modules/Relay/Relay.module.php,db974238714ca8de634a7ce1d083a14f
API access,Доступ через API,,site/modules/Relay/Relay.module.php,333157a2df341277b8e5bf1ac7b9afd0
API keys and SMTP passwords remain in the selected WireMail provider. Relay sends operational page and job metadata only; a delivery failure never blocks a job state change.,Ключи API и пароли SMTP остаются у выбранного провайдера WireMail. Relay передаёт только служебные метаданные страницы и задания; ошибка доставки никогда не блокирует изменение состояния задания.,,site/modules/Relay/Relay.module.php,335db0f60c195441bf768ffc9a695a42
Apply filters,Применить фильтры,,site/modules/Relay/Relay.module.php,79ee641715155ec7d121815215f2b70c
"A request triggers the check, not the clock","Запрос запускает проверку, а не часы",,site/modules/Relay/Relay.module.php,8b8b2dee506dea84460e65c8dac45ce2
A runtime credential is active; the saved token is not used.,Активны учётные данные из среды выполнения; сохранённый токен не используется.,,site/modules/Relay/Relay.module.php,c4956cadc1053597ded6bac69c666e50
"A session-only demo sandbox. Create, reschedule, cancel, filter, and run test actions without writing schedule jobs or changing pages. Real jobs are hidden and workers are paused while enabled.","Демонстрационная песочница в рамках текущей сессии. Создавайте, переносите, отменяйте, фильтруйте и запускайте тестовые действия без записи заданий и изменения страниц. Реальные задания скрыты, а обработчики приостановлены.",,site/modules/Relay/Relay.module.php,e021fd243bfab1b74a65440ec0649a84
Assistance,Помощь,,site/modules/Relay/Relay.module.php,1741ec6ed69cf571adac9eeb641c4f87
Authentication does not bypass permissions,Аутентификация не обходит разрешения,,site/modules/Relay/Relay.module.php,3105bd97f2e5366f5c658323e62a7d61
Available,Доступно,,site/modules/Relay/Relay.module.php,78945de8de090e90045d299651a68a9b
Batch limit,Ограничение пакета,,site/modules/Relay/Relay.module.php,c434994f87d80496315aabb424d301ac
Bearer token,Токен на предъявителя,,site/modules/Relay/Relay.module.php,25d95961a44037e555767a429cb7864e
Bounded filtered job list.,Ограниченный фильтрованный список вакансий.,,site/modules/Relay/Relay.module.php,d28acff2ebaac2f03b246ad07ab890cb
Bounded filtered jobs.,Ограниченные фильтруемые задания.,,site/modules/Relay/Relay.module.php,a63e0c300eda884def8ac90cee995aee
"Bound execution, retry failed work, and configure the optional traffic-driven fallback.","Ограничьте выполнение, настройте повторные попытки после ошибок и дополнительный резервный запуск по трафику.",,site/modules/Relay/Relay.module.php,1287ef14325adcd0c658131d23c85733
Browse pages,Просмотр страниц,,site/modules/Relay/Relay.module.php,5e0b73696a62c55958548373ca1b8685
Build a server-ready crontab line from the detected paths and worker limits. This page never installs or executes it.,Сформируйте готовую строку crontab из найденных путей и ограничений обработчика. Эта страница не устанавливает и не запускает её.,,site/modules/Relay/Relay.module.php,c6716b8ef9880688b036ee21e2b24786
"Build the exact production worker command to review, copy, and install in the server scheduler.","Сформируйте точную команду производственного обработчика, проверьте её, скопируйте и добавьте в планировщик сервера.",,site/modules/Relay/Relay.module.php,3dc3e866979d8821bbbaf6c1593d8b46
Calendar,Календарь,,site/modules/Relay/Relay.module.php,8ff922bbcd8ad41cdfc48d3c5163b2ab
Calendar is clear,Календарь чист,,site/modules/Relay/Relay.module.php,97c3f628453fd7631afa4ff83e6cf353
Calendar range,Календарный диапазон,,site/modules/Relay/Relay.module.php,1421ce9923c5e5d1c1b17300282da3d1
Cancel,Отмена,,site/modules/Relay/Relay.module.php,ea4788705e6873b424c65e91c2846b19
Cancel action,Отменить действие,,site/modules/Relay/Relay.module.php,1bf87e44da33943a3baad59edd51f4a0
Cancel a pending action.,Отменить ожидающее действие.,,site/modules/Relay/Relay.module.php,b6d129c814ed58a2a5f019b6dbbf3cb5
Cancel editing,Отменить редактирование,,site/modules/Relay/Relay.module.php,12c110ad1b37cf8db33fa1246ec4143d
Cancelled,Отменено,,site/modules/Relay/Relay.module.php,a149e85a44aeec9140e92733d9ed694e
Cancel pending job.,Отменить ожидающее задание.,,site/modules/Relay/Relay.module.php,8bdd42c19fd7e9a544c6f8b007ab0bde
Cancel this scheduled action?,Отменить это запланированное действие?,,site/modules/Relay/Relay.module.php,a5ff052f361c36edf80cdd32fbd0d468
Cards are grouped by status; open any card for full details and actions.,Карты сгруппированы по статусу; откройте любую карту для получения полной информации и действий.,,site/modules/Relay/Relay.module.php,49a239f405913b1094ea1cbab8dce2b7
Channel and capability manifest.,Канал и манифест возможностей.,,site/modules/Relay/Relay.module.php,d424fe59c2ccbde6fc73ac9b8d3d9993
Channels and stable capabilities.,Каналы и стабильные возможности.,,site/modules/Relay/Relay.module.php,a0b7a50f9cffaa9bcbe43579ecb44fa0
Check paths,Проверить пути,,site/modules/Relay/Relay.module.php,46380281d1978ca571499940ac460734
"Choose an interface to see what it does, whether it is ready, what it can change, and where to configure it.","Выберите интерфейс, чтобы увидеть, что он делает, готов ли он, что можно изменить и где его настроить.",,site/modules/Relay/Relay.module.php,792b6c4ecd8ede98fda36a2d900e5909
Choose a schedule action first.,Сначала выберите запланированное действие.,,site/modules/Relay/Relay.module.php,b5ca6bee4a1a4df268843a5ed568baea
Choose Kanban column,Выберите столбец Канбан,,site/modules/Relay/Relay.module.php,a75a612ebcfc9a2c29b980d76c23dfc7
Choose month and year,Выберите месяц и год,,site/modules/Relay/Relay.module.php,a7175c2ee9b6981892ad0d0cb0770a3c
Choose one or more page templates. Leave empty to allow every editable non-admin page.,"Выберите один или несколько шаблонов страниц. Оставьте пустым, чтобы разрешить каждую редактируемую страницу без прав администратора.",,site/modules/Relay/Relay.module.php,62f53ddacf90ac1a1a282667dd84f6ba
Choose publish or unpublish.,Выберите опубликовать или отменить публикацию.,,site/modules/Relay/Relay.module.php,52a5e2ae21b418ac0b637e80b695e59b
Choose the roles whose users may be selected by someone with relay-run-as permission.,"Выберите роли, пользователей которых может назначать редактор с разрешением relay-run-as.",,site/modules/Relay/Relay.module.php,cc5c4664914c5717b118af4ffbb7b656
Choose timeline date,Выберите дату графика,,site/modules/Relay/Relay.module.php,58c26170f40ee134863a4e2265318259
Choose up to eight scalar fields. Only these bounded values are included after an editor requests a proposal. Use title alone for the smallest disclosure.,"Выберите до восьми скалярных полей. Только эти ограниченные значения включаются после того, как редактор запрашивает предложение. Используйте только заголовок для минимального раскрытия информации.",,site/modules/Relay/Relay.module.php,9caa28121a764be018236b2647157e0b
"Choose what should happen to the page, when it should happen, and who should perform it.","Выберите, что должно произойти со страницей, когда это должно произойти и кто должен это выполнить.",,site/modules/Relay/Relay.module.php,03029f0acc3df7ea5b91d1fcf3694bd7
Choose which pages and editorial identities Relay may operate on.,"Выберите страницы и редакционные учётные записи, с которыми может работать Relay.",,site/modules/Relay/Relay.module.php,6b448a4ff5e5058375e4118a2718db83
Clear all demo actions from this session?,Удалить все демонстрационные действия из этого сеанса?,,site/modules/Relay/Relay.module.php,0afe20513d4c6a3d9f609d4983d57823
Clear demo data,Очистить демонстрационные данные,,site/modules/Relay/Relay.module.php,a13c9b268dc6b84aa629f0d3974fb7a6
Clear filter,Очистить фильтр,,site/modules/Relay/Relay.module.php,f53b6f6ba5a4c2c190041fe59d8926a0
Clear filters,Очистить фильтры,,site/modules/Relay/Relay.module.php,0b275442d6556cff30b75f37f1918899
CLI,CLI,,site/modules/Relay/Relay.module.php,91af5705f16502125e8b2187e64202c0
CLI + LazyCron,CLI + LazyCron,,site/modules/Relay/Relay.module.php,29cf269ee8cf09d63ec883b3f88f9b1b
CLI worker,CLI-обработчик,,site/modules/Relay/Relay.module.php,0450b38d94a0f09d42a2e35a093d82ac
Close details,Закрыть детали,,site/modules/Relay/Relay.module.php,d1a5096b0b613e40eea77aa1dd350342
Comma-separated administrator addresses.,"Адреса администраторов, разделенные запятыми.",,site/modules/Relay/Relay.module.php,83feeffce6708ac3652653cce1ef4372
Command,Команда,,site/modules/Relay/Relay.module.php,ee97be03cb04119af45014d815621ce1
Command-line access,Доступ из командной строки,,site/modules/Relay/Relay.module.php,1ae7429170bfbb819a1fafac758dbaff
Commands,Команды,,site/modules/Relay/Relay.module.php,c441ee50c88f6e5e3a7c69fc69dad8b8
Compare pages across a two-week planning board and spot competing publication changes.,Сравните страницы двухнедельной доски планирования и выявите конкурирующие изменения в публикациях.,,site/modules/Relay/Relay.module.php,36416f7fba3b68afaa8caf609a6b402d
"Compare three months at a glance, then select any date to inspect it in detail.","Кратко сравните данные за три месяца, а затем выберите любую дату, чтобы просмотреть ее подробно.",,site/modules/Relay/Relay.module.php,44fb40bb578f67863cc572f8ccc6837f
Completed,Выполнено,,site/modules/Relay/Relay.module.php,07ca5050e697392c9ed47e6453f1453f
Completed action,Завершенное действие,,site/modules/Relay/Relay.module.php,bded5a028477d97fee35867fc5306474
Configuration snapshot,Снимок конфигурации,,site/modules/Relay/Relay.module.php,a0723ddce45680734891027186cc3da4
Configured,Настроен,,site/modules/Relay/Relay.module.php,61aa63eb3ac1c3408640463ee5fe8aa3
"Configure editorial defaults, module boundaries, and worker safety. Planning tools remain in the Relay workspace.","Настройте редакционные значения по умолчанию, границы модуля и безопасность обработчика. Инструменты планирования остаются в рабочей области Relay.",,site/modules/Relay/Relay.module.php,840ee1e2378e3ae14ab5a2612a6cb829
Connect a trusted application with a ProcessWire session or one scoped Bearer token. Every request still acts as the assigned user.,Подключите доверенное приложение через сессию ProcessWire или один Bearer-токен с ограниченной областью действия. Каждый запрос по-прежнему выполняется от имени назначенного пользователя.,,site/modules/Relay/Relay.module.php,832dbb4732956012611aaa8902c9020d
Connected,Подключено,,site/modules/Relay/Relay.module.php,2ec0d16e4ca169baedb9b2d50ec5c6d7
Connect trusted internal tools through the PHP API or REST while keeping ProcessWire permissions in control.,"Подключайте надежные внутренние инструменты через PHP API или REST, сохраняя при этом контроль над разрешениями ProcessWire.",,site/modules/Relay/Relay.module.php,c68fa890692512c3064dfde4ea5e0374
"Controls the weekday order and range boundaries in month, week, quarter, and timeline views.","Управляет порядком дней недели и границами диапазона в представлениях месяца, недели, квартала и временной шкалы.",,site/modules/Relay/Relay.module.php,a35093bd21860077027b3bed0a40b3b2
Copied,Скопировано,,site/modules/Relay/Relay.module.php,a588b1abc58b8b758c4b34b69b9e10bb
Copy failed,Не удалось скопировать,,site/modules/Relay/Relay.module.php,5496a81d145ee0c172e6c616cabbf89c
Copy line,Копировать строку,,site/modules/Relay/Relay.module.php,1b318b7364fe667573f0b08a40bf3504
Copy now,Скопировать сейчас,,site/modules/Relay/Relay.module.php,68b3e342561fc3fd7a4b776bce7b32de
Copy publication URL,Скопировать URL публикации,,site/modules/Relay/Relay.module.php,de31ad66e8f4c571db77ca043fc64151
Could not copy the publication URL.,Не удалось скопировать URL-адрес публикации.,,site/modules/Relay/Relay.module.php,7de6cdd0cea64636b71bb7daf2eb4330
Create a bot with @BotFather. TeleWire module settings are not used; Relay owns this credential and a private runtime override takes precedence.,"Создайте бота через @BotFather. Настройки модуля TeleWire не используются: Relay хранит собственные учётные данные, а приватное значение из среды выполнения имеет приоритет.",,site/modules/Relay/Relay.module.php,1e104bb8cac50f1203e2b0082cc35378
Create action/window from JSON.,Создайте действие/окно из JSON.,,site/modules/Relay/Relay.module.php,e809c38a148988d6868a2e26132820d3
Create an action or publication window.,Создайте окно действия или публикации.,,site/modules/Relay/Relay.module.php,6724697fdf125552ad446dbd15a9006b
Credential boundary,Граница учётных данных,,site/modules/Relay/Relay.module.php,0068e8594ce82519d038f615bd036630
Credentials,Учётные данные,,site/modules/Relay/Relay.module.php,2daf1cb573c2c61422faf64610cf9402
Credentials remain encrypted in Squad. Leave blank to use its active default provider and model.,"Учётные данные остаются зашифрованными в Squad. Оставьте поле пустым, чтобы использовать активные провайдер и модель Squad по умолчанию.",,site/modules/Relay/Relay.module.php,4fe66c555255afc3d6071252d53ae094
Cron paths may contain only ordinary path characters and must not contain line breaks.,Пути Cron могут содержать только обычные символы пути и не должны содержать разрывов строк.,,site/modules/Relay/Relay.module.php,e18eb6890a7d414858d490f91d52ed60
Crontab,Crontab,,site/modules/Relay/Relay.module.php,7ac05e39c9ac2dca8d85eb369276b5f9
Crontab command builder,Конструктор команд Crontab,,site/modules/Relay/Relay.module.php,436b64e2d82ccd300bdd7083fcb96bb7
Crontab interval,Интервал Кронтаба,,site/modules/Relay/Relay.module.php,413239b7ad45b126284d48d2d302a307
Crontab log path,Путь к журналу Crontab,,site/modules/Relay/Relay.module.php,2a0e6f286d79fee4d193ded7d101565a
Crontab PHP binary,Бинарный PHP-файл Crontab,,site/modules/Relay/Relay.module.php,298c1b65b0849b7b8d4608bdeb172f14
Current runtime,Текущая среда выполнения,,site/modules/Relay/Relay.module.php,1ff985a7372fb2007f693065be4ec93f
Current state,Текущее состояние,,site/modules/Relay/Relay.module.php,48358648336d501e2336d5360a559533
Date,Дата,,site/modules/Relay/Relay.module.php,44749712dbec183e983dcd78a7736c41
Date and time,Дата и время,,site/modules/Relay/Relay.module.php,2b0b7c9cbd6d6e9fa6b99aa06e828673
Dates are entered in this timezone and stored as UTC. Existing jobs retain their timezone snapshot.,Даты вводятся в этом часовом поясе и сохраняются в формате UTC. Существующие задания сохраняют снимок часового пояса.,,site/modules/Relay/Relay.module.php,ef3b9053e482cbbbcb81b70404c333b8
Default planning view,Представление планирования по умолчанию,,site/modules/Relay/Relay.module.php,7bfd5d7d9aa3cd647746fdd0b268ea2d
Default scheduling time,Время планирования по умолчанию,,site/modules/Relay/Relay.module.php,5139b5fa243889383ebcf2eb4e4b6ff3
Defaults editors see when they plan and review publication changes.,"Значения по умолчанию, которые редакторы видят при планировании и проверке изменений публикации.",,site/modules/Relay/Relay.module.php,866a71238cd697abfcdfe659271e4924
Default time %s,Время по умолчанию %s,,site/modules/Relay/Relay.module.php,39d05a37d73e961af3d143549681cbf4
Default workspace,Рабочая область по умолчанию,,site/modules/Relay/Relay.module.php,200b2afc357800a45e6f94aff0e41378
Delivery,Доставка уведомлений,,site/modules/Relay/Relay.module.php,065ab3a28ca4f16f55f103adc7d0226f
Demo: action currently being processed,Демо: действие в данный момент обрабатывается,,site/modules/Relay/Relay.module.php,4e977e78254673a0518e9506f0e3b26e
Demo: afternoon editorial release,Демо: дневной редакционный выпуск,,site/modules/Relay/Relay.module.php,53a7d9e119530324a72233463166c2a1
Demo: article published successfully,Демо: статья успешно опубликована,,site/modules/Relay/Relay.module.php,c219f7ee8f274c285b2fda9764660d1a
Demo: campaign closed on schedule,Демо: кампания закрыта по расписанию,,site/modules/Relay/Relay.module.php,37bb96a328e8c40cffcd48749cf3b0c7
Demo: campaign closing action,Демо: действие по закрытию кампании,,site/modules/Relay/Relay.module.php,f066f0c72cf4115df0e3d170591f9e17
Demo: campaign landing page,Демо: целевая страница кампании,,site/modules/Relay/Relay.module.php,8e385810eed22833bdc5e78b324ec556
Demo: cancelled weekend release,Демо: отмененный выпуск выходного дня,,site/modules/Relay/Relay.module.php,16d5392b56592788fe2acee7e9baf7e0
Demo: due action for testing the worker,Демо: наступившее действие для проверки обработчика,,site/modules/Relay/Relay.module.php,0abcb64269c52b16d25131c1d6ffab99
Demo: duplicate launch cancelled,Демо: дублирующий запуск отменен,,site/modules/Relay/Relay.module.php,382ba1f1057626ca2237b4bfa2705463
Demo: early campaign publication completed,Демо: ранняя публикация кампании завершена,,site/modules/Relay/Relay.module.php,e3d5f3a32b5421ced92d87f5ffbeceac
Demo: editorial launch was cancelled,Демо: запуск редакции отменен,,site/modules/Relay/Relay.module.php,a01270e1dbfc1e2769918d75edf321c9
Demo: evening feature release,Демо: вечерняя публикация материала,,site/modules/Relay/Relay.module.php,567f1fb2c94383e790f3418e142baf74
Demo: evening launch cancelled,Демо: вечерний запуск отменен,,site/modules/Relay/Relay.module.php,01fc1bca507f5108d78708c516c816b4
Demo: expired publication removed,Демо: просроченная публикация удалена,,site/modules/Relay/Relay.module.php,b763e6b4f53c3fd7a9de4f47a0c2114e
Demo: failed action ready for review,Демо: невыполненное действие готово к проверке,,site/modules/Relay/Relay.module.php,5859cace48df8a80fd1e50d0a44db568
Demo: fortnight editorial milestone,Демо: редакционный этап через две недели,,site/modules/Relay/Relay.module.php,628d6aee4011ccee88dc1bf6b6c6a870
Demo: future content retirement,Демо: будущее прекращение использования контента,,site/modules/Relay/Relay.module.php,bdc873844e059ddcae9990287bc292bd
Demo: knowledge-base update,Демо: обновление базы знаний,,site/modules/Relay/Relay.module.php,c48930a7b7c6f8ff23ff055391d425ac
Demo: late editorial release,Демо: поздний редакционный выпуск,,site/modules/Relay/Relay.module.php,b791b6bcfd612979c4687115f84eb08e
Demo: long-range publication plan,Демо: долгосрочный план публикации,,site/modules/Relay/Relay.module.php,400ab62682aa49552e4380713ad93e0a
Demo: midday failure awaiting review,Демо: полуденный сбой ожидает проверки,,site/modules/Relay/Relay.module.php,89c5dec77182b2aa09c797b388425c12
Demo: morning product announcement,Демо: утренний анонс продукта,,site/modules/Relay/Relay.module.php,cfc62a32cc355880439d5fdef545d001
Demo: morning publication completed,Демо: утренняя публикация завершена,,site/modules/Relay/Relay.module.php,2e8dff2e51605dbdeab759499467499c
Demo: next-month opening slot,Демо: стартовый слот в следующем месяце,,site/modules/Relay/Relay.module.php,a878e7698bf4faedb78c19170b1cf719
Demo: next-month preview release,Демо: предварительный выпуск в следующем месяце,,site/modules/Relay/Relay.module.php,af1bd2075439d8df12b07e11bf05d1b9
Demo: older unpublication plan was replaced,Демо: заменен старый план отмены публикации,,site/modules/Relay/Relay.module.php,34c8d916e9e146e6fb5fc3dd901b44a8
Demo: partner announcement,Демо: объявление партнера,,site/modules/Relay/Relay.module.php,b2a018fc7c3d19dcdf4d0695c724acc6
Demo: planned unpublication,Демо: запланированное снятие с публикации,,site/modules/Relay/Relay.module.php,e7d5b5bc493fabbe51504d69e0f43ca6
Demo: primary publication slot,Демо: основное время публикации,,site/modules/Relay/Relay.module.php,4483db70aab9eca19c24e99fcbad5e9d
Demo: publication failed after retries,Демо: публикация не удалась после повторных попыток,,site/modules/Relay/Relay.module.php,6f60e14c8fd741c66345e49096581f4c
Demo: quarterly archive plan,Демо: ежеквартальный план архивирования,,site/modules/Relay/Relay.module.php,97590c824e1a54db97e0e72240d1c493
Demo: queued editorial processing,Демо: редакционная обработка в очереди,,site/modules/Relay/Relay.module.php,ece98969aa73936c424d7448d63bacb3
Demo: replaced end-of-day plan,Демо: заменен план на конец дня,,site/modules/Relay/Relay.module.php,2679b07e8c9e4e61109af074c6186e6e
Demo: scheduled release completed,Демо: запланированный выпуск завершен,,site/modules/Relay/Relay.module.php,ec72c83754784238e397d3339ae104d9
Demo: short-lived notice expiry,Демо: кратковременный срок действия уведомления,,site/modules/Relay/Relay.module.php,fb8069cd90115c02ca5e02390962d2e2
Demo: temporary page expiry,Демо: временное истечение срока действия страницы,,site/modules/Relay/Relay.module.php,777528530b00495f5bbffd74c0bb0d22
Demo: timed content expiry,Демо: срок действия контента ограничен по времени,,site/modules/Relay/Relay.module.php,0609257a5b1203389dca701490616329
Demo: weekend publication,Демо: публикация выходного дня,,site/modules/Relay/Relay.module.php,772e6de1d5d877a83cf5234d6d45d09a
Demo: weekly editorial opening,Демо: начало редакционной недели,,site/modules/Relay/Relay.module.php,517174a2ddde8d07dd50a71b3156a195
Demo action cancelled. No real data was changed.,Демо-акция отменена. Никакие реальные данные не были изменены.,,site/modules/Relay/Relay.module.php,9a3da0c5f659e2d591b558084f562a16
Demo action created. No real data was added.,Демо-действие создано. Реальные данные не добавлялись.,,site/modules/Relay/Relay.module.php,84aa0e76a7be503b5914d4aaad23b893
Demo actions,Демонстрационные действия,,site/modules/Relay/Relay.module.php,dc058d439f9787fa13ea7d0189fc9a67
Demo action updated. No real data was changed.,Демо-действие обновлено. Никакие реальные данные не были изменены.,,site/modules/Relay/Relay.module.php,5e788eab456f5d2537002e54d9028edd
Demo failure: retry limit reached,Ошибка демо-версии: достигнут лимит повторных попыток.,,site/modules/Relay/Relay.module.php,1b648a384fab436f6371cbb50fed1432
Demo publication window created. No real data was added.,Создано окно публикации демо. Реальные данные не добавлялись.,,site/modules/Relay/Relay.module.php,fe51125b66789ffd624b0fcb116cd4e4
Demo sandbox cleared.,Песочница демо-версии очищена.,,site/modules/Relay/Relay.module.php,0f4bc421a79c379c6088bfc9da36d518
Disabled,Выключено,,site/modules/Relay/Relay.module.php,b9f5c797ebbf55adccdd8539a65a0241
Disable this option to return to the real schedule. Imitation data can be cleared from the Relay workspace.,"Выключите эту опцию, чтобы вернуться к реальному расписанию. Данные имитации можно очистить в рабочей области Relay.",,site/modules/Relay/Relay.module.php,44d4af7a081e376050300527f4ccf823
Dismiss notification,Закрыть уведомление,,site/modules/Relay/Relay.module.php,f60fdb90ef3ee39faa9ae1dcf41b99bc
Drag selected fields into priority order; only fields present on the requested page are sent.,"Перетащите выбранные поля в порядке приоритета; отправляются только поля, присутствующие на запрошенной странице.",,site/modules/Relay/Relay.module.php,75cd4af5e243ca9b7097e3efb57820eb
"Drag this pending action to another date, or open it for exact rescheduling.",Перетащите это отложенное действие на другую дату или откройте его для точного переноса расписания.,,site/modules/Relay/Relay.module.php,6c838aa8af183942b8654bc03625178e
Edit,Редактировать,,site/modules/Relay/Relay.module.php,7dce122004969d56ae2e0245cb754d35
Editorial identity,Редакционная учётная запись,,site/modules/Relay/Relay.module.php,e439c9c6d21a35df29cc1f53267b38ef
Editorial identity roles,Редакционные роли,,site/modules/Relay/Relay.module.php,d61b0692a07d7f1642dc1884b7d65530
Editorial planning,Редакционное планирование,,site/modules/Relay/Relay.module.php,e58d817da46eec7830b8d99de903ca60
Editorial planning assistance,Помощь в редакционном планировании,,site/modules/Relay/Relay.module.php,811e14b0c4ed2ee9fd897d35100089dc
Editorial timezone,Редакционный часовой пояс,,site/modules/Relay/Relay.module.php,ad7793c2d4edb026f49afee8542b6620
"Editors can explicitly request a draft publication time and note. Squad never creates, changes, or executes a schedule job.","Редактор может явно запросить у Squad черновик времени публикации и заметки. Squad никогда не создаёт, не изменяет и не выполняет задания Relay.",,site/modules/Relay/Relay.module.php,be5bd4d8f894e2fc2b7e3b7b4b09752d
